platform,title,url,thumbnail_file,uploader,timestamp,added_timestamp,transcript_source,description_preview,transcript_preview
instagram,Video by jayneconverse3,https://www.instagram.com/reel/DLd22AUN3Lm/?igsh=b2Q2MXBncWtyazN2,raw/DLd22AUN3Lm.jpg,Jayne Converse,1751161129,1775865659,none,"Part 2: They’re not following Trump because of what he does. They’re following him because of how he makes them feel. This isn’t just politics—it’s identity, rage, and emotional manipulation. Understa",
instagram,Video by jacobhartmanofficial,https://www.instagram.com/reel/DN9uNhCjJ_e/?igsh=MXVoN3J0ZTQ2NWRqbQ==,raw/DN9uNhCjJ_e.jpg,Jacob Hartman | Digital Marketing,1756525271,1775865659,none,"Follow for the best side hustles 🔥 I share the best side hustles, ways to make money online, and remote jobs every single day!

Let me know in the comments which you want to see more of: side hustles,",
instagram,Video by teno_alvarez,https://www.instagram.com/reel/DNYVrMeOwNX/?igsh=MWNxYTBkM3Z4bDQzdg==,raw/DNYVrMeOwNX.jpg,Teno Alvarez,1755270961,1775865659,none,Tenemos un talento brutal gracias a Dios #fyp  #freestyle  #videoviral  #parati  #raperos  #viralvideos,
instagram,Video by musicallyproper,https://www.instagram.com/reel/DOOPKRWkeln/?igsh=MXZvZ3J5bnA0YXcw,raw/DOOPKRWkeln.jpg,MP,1757079367,1775865659,none,"In 1982, Conrad Schnitzler—once a member of Tangerine Dream and Kluster—dropped ‘The Shark Eats Ice.’ A track so icy, mechanical, and satirical it feels like electroclash 20 years early.

Schnitzler c",
instagram,Video by jake_whan,https://www.instagram.com/reel/DOjhA2JEdy6/?igsh=MWhkemwzYmxoY2xtZw==,raw/DOjhA2JEdy6.jpg,Jake Whan,1757793549,1775865659,none,"You don’t need to spend $25,000 on stem cells. You can do it for free, using your own body and breath. 

Isn’t it profound that our own body can heal itself!? Well… the generations that came before us",
instagram,Post by uncover.quantum,https://www.instagram.com/p/DPS7WOdCmln/?img_index=5&igsh=eTFwMXN1dHR3Zncz,,,,1775865659,none,"🌌 A RUSSIAN QUANTUM PHYSICIST DISCOVERED HOW TO SLIDE BETWEEN PARALLEL REALITIES 🌌
This is genuinely mind-bending. In 1993, Vadim Zeland quit his job after a profound insight: reality exists as infini",
instagram,Video by jeetinsight,https://www.instagram.com/reel/DPbVp7UD9VU/?igsh=OWYzZzNybW5ocGZj,raw/DPbVp7UD9VU.jpg,Jeet Insight,1759666581,1775865659,none,"This film is pure madness.

Brandon Cronenberg took one of his own frustrating trips and turned it into one of the most unhinged movies you’ll ever see.

Infinity Pool (2023), directed by Brandon Cron",
instagram,Video by ufocaller,https://www.instagram.com/reel/DPyLMYXDJzA/?igsh=a2RzdHFmZm5rZHU0,raw/DPyLMYXDJzA.jpg,UFO 🧚‍♀️,1760433164,1775865659,none,"Thank you to my beautiful company who helped me find out about this 🌀 

The golden ratio - the reminder of who we are 🌎 

#goldenratio #spiritualunderstanding #thekey #spiritualgrowth #spiritualpracti",
instagram,Video by yamshakta,https://www.instagram.com/reel/DQ3nFCNkS2v/?igsh=MTY3OXhhdGZtMGt5bA==,raw/DQ3nFCNkS2v.jpg,Lyam (Yam),1762762716,1775865659,none,How are Women more feminine and masculine than men? #femininity #masculinity #ancient #indigenous #india #yoga #shakti #shiva #hinduism,
instagram,Video by artart.en,https://www.instagram.com/reel/DQ5Isk9E3oZ/?igsh=MTVlMXNyMHlkdnA0aA==,,ARTART,1762813882,1775865659,none,"🎬 Akira and Hiroko (2008) – Directed by Michel Gondry, from the anthology film <Tokyo!>

Tokyo! brings together Michel Gondry, Leos Carax, and Bong Joon-ho — three visionary directors capturing the ci",
